"","participant","age","place","item","value","agreement","Sum","Svartid"
"92","21795037","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 33 sekund"
"93","21795052","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","3 minutt 13 sekund"
"94","21795054","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","41 sekund"
"95","21795056","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 13 sekund"
"96","21795058",">70","Herøy","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","3 minutt 15 sekund"
"97","21795066","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 47 sekund"
"98","21795069","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","50 sekund"
"99","21795070","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 11 sekund"
"100","21795080","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 8 sekund"
"101","21795131","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","46 sekund"
"102","21795134","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","51 sekund"
"103","21795141","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","47 sekund"
"104","21795144","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","4 minutt 1 sekund"
"105","21795145","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 15 sekund"
"106","21795165","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 6 sekund"
"107","21795170","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","35 sekund"
"108","21795187","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 26 sekund"
"109","21795199","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","44 sekund"
"110","21795208","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","43 sekund"
"111","21795210","50-59","Vanylven","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 55 sekund"
