"publikasjon","full_titel","ordklasse","frekvens","ratio"
"filmopplevelse","Den reflekterte filmopplevelse","adjektiv",1647,0.165
"vårt_land","Vårt Land","adjektiv",1564,0.156
"jakt_og_fiske","Jakt & fiske","adjektiv",1724,0.172
"amnesty_nytt","Amnesty Nytt","adjektiv",1675,0.168
"barnebok","Barneboklesninger","adjektiv",1394,0.139
"dagbladet","Dagblaget","adjektiv",1768,0.177
"aftenposten","Aftenposten","adjektiv",1547,0.155
"økonomisk","Økonomisk rapport","adjektiv",1607,0.161
"bedre_gardsdrift","Bedre Gardsdrift","adjektiv",1621,0.162
"adresseavisen","Adresseavisen","adjektiv",1472,0.147
"naturen","Naturen","adjektiv",1868,0.187
"reiser","Reiser & ferie","adjektiv",1799,0.18
"gamereactor","Gamereactor","adjektiv",2055,0.206
"filmmagasinet","Filmmagasinet","adjektiv",1716,0.172
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adjektiv",1564,0.143
"helseplager","Kvinners ubestemte helseplager","adjektiv",1755,0.092
"rødt","Rødt!","adjektiv",1607,0.075
"seileeventyr","Et seileeventyr i økologi","adjektiv",1611,0.079
"filmopplevelse","Den reflekterte filmopplevelse","adjektiv",1647,0.069
"vårt_land","Vårt Land","adjektiv",1564,0.081
"jakt_og_fiske","Jakt & fiske","adjektiv",1724,0.077
"amnesty_nytt","Amnesty Nytt","adjektiv",1675,0.064
"barnebok","Barneboklesninger","adjektiv",1394,0.081
"dagbladet","Dagblaget","adjektiv",1768,0.078
"aftenposten","Aftenposten","adjektiv",1547,0.073
"økonomisk","Økonomisk rapport","adjektiv",1607,0.07
"bedre_gardsdrift","Bedre Gardsdrift","adjektiv",1621,0.071
"adresseavisen","Adresseavisen","adjektiv",1472,0.079
"naturen","Naturen","adjektiv",1868,0.074
"reiser","Reiser & ferie","adjektiv",1799,0.069
"gamereactor","Gamereactor","adjektiv",2055,0.095
"filmmagasinet","Filmmagasinet","adjektiv",1716,0.071
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adverb",1426,0.373
"helseplager","Kvinners ubestemte helseplager","adverb",919,0.389
"rødt","Rødt!","adverb",748,0.461
"seileeventyr","Et seileeventyr i økologi","adverb",788,0.444
"filmopplevelse","Den reflekterte filmopplevelse","adverb",695,0.492
"vårt_land","Vårt Land","adverb",814,0.45
"jakt_og_fiske","Jakt & fiske","adverb",774,0.461
"amnesty_nytt","Amnesty Nytt","adverb",644,0.445
"barnebok","Barneboklesninger","adverb",811,0.453
"dagbladet","Dagblaget","adverb",782,0.464
"aftenposten","Aftenposten","adverb",726,0.496
"økonomisk","Økonomisk rapport","adverb",696,0.489
"bedre_gardsdrift","Bedre Gardsdrift","adverb",710,0.471
"adresseavisen","Adresseavisen","adverb",786,0.471
"naturen","Naturen","adverb",741,0.464
"reiser","Reiser & ferie","adverb",686,0.501
"gamereactor","Gamereactor","adverb",949,0.407
"filmmagasinet","Filmmagasinet","adverb",707,0.488
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adverb",1426,0.328
"helseplager","Kvinners ubestemte helseplager","adverb",919,0.344
"rødt","Rødt!","adverb",748,0.303
"seileeventyr","Et seileeventyr i økologi","adverb",788,0.316
"filmopplevelse","Den reflekterte filmopplevelse","adverb",695,0.274
"vårt_land","Vårt Land","adverb",814,0.312
"jakt_og_fiske","Jakt & fiske","adverb",774,0.289
"amnesty_nytt","Amnesty Nytt","adverb",644,0.323
"barnebok","Barneboklesninger","adverb",811,0.326
"dagbladet","Dagblaget","adverb",782,0.281
"aftenposten","Aftenposten","adverb",726,0.277
"økonomisk","Økonomisk rapport","adverb",696,0.281
"bedre_gardsdrift","Bedre Gardsdrift","adverb",710,0.296
"adresseavisen","Adresseavisen","adverb",786,0.303
"naturen","Naturen","adverb",741,0.275
"reiser","Reiser & ferie","adverb",686,0.25
"gamereactor","Gamereactor","adverb",949,0.293
"filmmagasinet","Filmmagasinet","adverb",707,0.27
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adverb",1426,0.156
"helseplager","Kvinners ubestemte helseplager","adverb",919,0.175
"rødt","Rødt!","adverb",748,0.161
"seileeventyr","Et seileeventyr i økologi","adverb",788,0.161
"filmopplevelse","Den reflekterte filmopplevelse","adverb",695,0.165
"vårt_land","Vårt Land","adverb",814,0.156
"jakt_og_fiske","Jakt & fiske","adverb",774,0.172
"amnesty_nytt","Amnesty Nytt","adverb",644,0.168
"barnebok","Barneboklesninger","adverb",811,0.139
"dagbladet","Dagblaget","adverb",782,0.177
"aftenposten","Aftenposten","adverb",726,0.155
"økonomisk","Økonomisk rapport","adverb",696,0.161
"bedre_gardsdrift","Bedre Gardsdrift","adverb",710,0.162
"adresseavisen","Adresseavisen","adverb",786,0.147
"naturen","Naturen","adverb",741,0.187
"reiser","Reiser & ferie","adverb",686,0.18
"gamereactor","Gamereactor","adverb",949,0.206
"filmmagasinet","Filmmagasinet","adverb",707,0.172
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adverb",1426,0.143
"helseplager","Kvinners ubestemte helseplager","adverb",919,0.092
"rødt","Rødt!","adverb",748,0.075
"seileeventyr","Et seileeventyr i økologi","adverb",788,0.079
"filmopplevelse","Den reflekterte filmopplevelse","adverb",695,0.069
"vårt_land","Vårt Land","adverb",814,0.081
"jakt_og_fiske","Jakt & fiske","adverb",774,0.077
"amnesty_nytt","Amnesty Nytt","adverb",644,0.064
"barnebok","Barneboklesninger","adverb",811,0.081
"dagbladet","Dagblaget","adverb",782,0.078
"aftenposten","Aftenposten","adverb",726,0.073
"økonomisk","Økonomisk rapport","adverb",696,0.07
"bedre_gardsdrift","Bedre Gardsdrift","adverb",710,0.071
"adresseavisen","Adresseavisen","adverb",786,0.079
"naturen","Naturen","adverb",741,0.074
"reiser","Reiser & ferie","adverb",686,0.069
"gamereactor","Gamereactor","adverb",949,0.095
"filmmagasinet","Filmmagasinet","adverb",707,0.071
